session_id,vehicle_id,station_id,start_time,end_time,energy_consumed_kWh,cost
102,304,363,2023-07-31 00:49:00,2023-07-31 02:14:00,25.27,189.53
103,714,85,2023-10-31 20:47:00,2023-10-31 21:30:00,47.51,356.32
104,898,31,2023-11-30 10:18:00,2023-11-30 11:21:00,25.89,194.18
105,316,232,2023-11-23 17:56:00,2023-11-23 19:15:00,35.47,266.02
106,626,77,2023-01-18 17:38:00,2023-01-18 18:39:00,47.1,353.25
107,516,379,2023-07-11 19:29:00,2023-07-11 20:53:00,41.14,308.55
108,813,29,2023-11-18 23:00:00,2023-11-19 00:01:00,46.51,348.82
109,862,495,2023-01-20 12:59:00,2023-01-20 14:29:00,49.69,372.67
110,773,377,2023-11-30 05:29:00,2023-11-30 06:20:00,49.17,368.78
111,710,16,2023-09-07 14:24:00,2023-09-07 15:24:00,42.57,319.27
112,676,309,2023-09-03 05:52:00,2023-09-03 07:04:00,40.86,306.45
113,222,190,2023-06-01 11:46:00,2023-06-01 12:16:00,30.19,226.43
114,284,244,2023-10-31 01:55:00,2023-10-31 02:50:00,18.19,136.43
115,470,256,2023-07-01 16:28:00,2023-07-01 17:25:00,35.22,264.15
116,345,134,2023-04-28 23:17:00,2023-04-29 00:16:00,25.12,188.4
117,757,285,2023-08-31 19:34:00,2023-08-31 20:41:00,27.19,203.93
118,862,63,2023-06-12 02:31:00,2023-06-12 03:08:00,27.43,205.72
119,730,486,2023-10-23 06:22:00,2023-10-23 07:03:00,16.28,122.1
120,876,351,2023-04-14 13:15:00,2023-04-14 14:34:00,20.09,150.68
121,661,160,2023-07-28 22:20:00,2023-07-28 22:53:00,15.08,113.1
122,374,209,2023-08-30 22:02:00,2023-08-30 22:38:00,18.11,135.82
123,680,35,2023-05-31 09:19:00,2023-05-31 10:27:00,25.16,188.7
124,269,241,2023-09-29 21:33:00,2023-09-29 22:43:00,45.88,344.1
125,439,210,2023-01-06 21:25:00,2023-01-06 22:50:00,20.71,155.33
126,925,210,2023-06-08 01:25:00,2023-06-08 02:48:00,10.56,79.2
127,83,77,2023-05-15 22:09:00,2023-05-15 23:16:00,38.33,287.47
128,202,87,2023-03-03 19:05:00,2023-03-03 19:52:00,49.84,373.8
129,520,233,2023-01-23 21:14:00,2023-01-23 21:44:00,33.42,250.65
130,34,326,2023-08-29 07:10:00,2023-08-29 08:11:00,29.65,222.38
131,583,258,2023-06-27 23:54:00,2023-06-28 00:30:00,31.9,239.25
132,467,67,2023-04-23 22:41:00,2023-04-24 00:03:00,49.91,374.32
133,805,340,2023-02-17 21:10:00,2023-02-17 21:53:00,38.33,287.47
134,192,236,2023-10-11 17:25:00,2023-10-11 18:39:00,36.68,275.1
135,386,75,2023-10-02 23:27:00,2023-10-03 00:12:00,15.83,118.72
136,929,150,2023-09-28 17:36:00,2023-09-28 18:31:00,34.3,257.25
137,288,142,2023-06-16 11:59:00,2023-06-16 13:14:00,49.94,374.55
138,207,41,2023-01-29 04:18:00,2023-01-29 04:48:00,21.44,160.8
139,752,171,2023-12-13 20:24:00,2023-12-13 21:47:00,33.15,248.62
140,316,420,2023-07-24 20:56:00,2023-07-24 22:20:00,37.95,284.62
141,360,299,2023-07-16 12:15:00,2023-07-16 13:39:00,21.35,160.12
142,280,492,2023-10-07 04:00:00,2023-10-07 05:11:00,35.61,267.07
143,439,162,2023-02-15 12:43:00,2023-02-15 13:29:00,30.87,231.53
144,904,383,2023-06-20 11:14:00,2023-06-20 12:11:00,27.49,206.17
145,508,361,2023-01-15 02:12:00,2023-01-15 03:10:00,36.59,274.43
146,40,389,2023-05-23 21:46:00,2023-05-23 23:11:00,43.02,322.65
147,498,210,2023-04-23 00:02:00,2023-04-23 01:26:00,40.62,304.65
148,304,380,2023-02-20 10:11:00,2023-02-20 11:26:00,30.74,230.55
149,220,469,2023-07-29 17:11:00,2023-07-29 18:40:00,37.06,277.95
150,212,15,2023-05-20 08:22:00,2023-05-20 09:40:00,24.76,185.7
151,890,300,2023-02-20 23:58:00,2023-02-21 00:44:00,13.36,100.2
152,516,415,2023-04-08 23:01:00,2023-04-08 23:55:00,41.32,309.9
153,278,71,2023-01-31 09:28:00,2023-01-31 10:19:00,38.39,287.93
154,680,12,2023-05-17 15:10:00,2023-05-17 16:30:00,47.11,353.32
155,671,428,2023-01-20 02:45:00,2023-01-20 03:25:00,20.83,156.22
156,68,378,2023-05-04 20:26:00,2023-05-04 21:34:00,16.01,120.08
157,75,288,2023-06-25 13:58:00,2023-06-25 14:41:00,11.41,85.58
158,826,47,2023-03-19 14:40:00,2023-03-19 15:55:00,45.91,344.32
159,258,327,2023-08-08 17:53:00,2023-08-08 18:51:00,27.64,207.3
160,961,135,2023-09-29 12:30:00,2023-09-29 13:19:00,45.99,344.93
161,713,256,2023-04-10 19:25:00,2023-04-10 20:41:00,17.29,129.67
162,951,10,2023-09-21 09:42:00,2023-09-21 10:43:00,34.49,258.68
163,513,351,2023-11-16 14:53:00,2023-11-16 15:49:00,26.25,196.88
164,941,222,2023-04-14 04:51:00,2023-04-14 06:07:00,36.51,273.82
165,914,2,2023-04-18 16:50:00,2023-04-18 18:03:00,13.22,99.15
166,249,486,2023-01-15 12:01:00,2023-01-15 13:15:00,21.75,163.12
167,450,123,2023-04-15 17:05:00,2023-04-15 18:24:00,45.29,339.68
168,351,434,2023-09-03 02:31:00,2023-09-03 03:36:00,44.9,336.75
169,33,8,2023-12-21 02:05:00,2023-12-21 02:56:00,28.9,216.75
170,986,187,2023-08-27 11:19:00,2023-08-27 12:37:00,32.39,242.93
171,68,156,2023-10-30 01:19:00,2023-10-30 02:39:00,13.88,104.1
172,165,280,2023-07-08 17:55:00,2023-07-08 18:38:00,33.56,251.7
173,355,23,2023-11-29 21:57:00,2023-11-29 22:59:00,23.26,174.45
174,760,260,2023-10-30 09:37:00,2023-10-30 10:19:00,16.33,122.47
175,534,83,2023-05-17 05:45:00,2023-05-17 06:39:00,39.69,297.67
176,661,201,2023-04-07 06:16:00,2023-04-07 07:42:00,33.95,254.63
177,488,54,2023-09-06 19:49:00,2023-09-06 21:10:00,26.85,201.38
178,746,320,2023-05-08 22:23:00,2023-05-08 23:47:00,10.35,77.62
179,821,153,2023-04-03 02:32:00,2023-04-03 03:56:00,12.0,90.0
180,37,129,2023-08-02 00:50:00,2023-08-02 01:53:00,28.8,216.0
181,287,122,2023-09-16 10:57:00,2023-09-16 12:11:00,32.9,246.75
182,573,149,2023-11-24 17:48:00,2023-11-24 18:26:00,19.91,149.32
183,517,500,2023-04-26 20:54:00,2023-04-26 21:49:00,32.37,242.77
184,600,159,2023-02-18 19:10:00,2023-02-18 19:56:00,27.05,202.88
185,676,308,2023-11-18 02:24:00,2023-11-18 03:45:00,22.8,171.0
186,403,245,2023-09-22 11:44:00,2023-09-22 13:04:00,21.96,164.7
187,539,363,2023-05-29 01:42:00,2023-05-29 02:52:00,13.49,101.17
188,450,82,2023-02-01 07:33:00,2023-02-01 08:46:00,23.87,179.03
189,728,336,2023-05-10 12:05:00,2023-05-10 13:33:00,27.4,205.5
190,306,4,2023-03-24 20:10:00,2023-03-24 20:55:00,40.3,302.25
191,246,241,2023-11-24 04:39:00,2023-11-24 05:21:00,10.75,80.62
192,812,331,2023-11-14 23:50:00,2023-11-15 00:20:00,31.31,234.82
193,398,418,2023-04-17 19:51:00,2023-04-17 21:03:00,36.66,274.95
194,149,396,2023-01-05 05:22:00,2023-01-05 06:00:00,40.49,303.68
195,604,72,2023-03-06 11:35:00,2023-03-06 12:36:00,23.18,173.85
196,215,41,2023-12-14 19:07:00,2023-12-14 20:15:00,16.38,122.85
197,800,353,2023-01-01 02:09:00,2023-01-01 03:00:00,22.61,169.57
198,751,375,2023-09-21 18:45:00,2023-09-21 19:23:00,38.15,286.12
199,161,144,2023-04-12 02:04:00,2023-04-12 02:37:00,22.52,168.9
200,643,427,2023-03-07 18:48:00,2023-03-07 19:35:00,41.26,309.45
201,346,321,2023-11-14 23:05:00,2023-11-15 00:14:00,26.13,195.97
202,958,255,2023-06-29 03:44:00,2023-06-29 05:08:00,33.43,250.72
203,69,394,2023-10-31 19:35:00,2023-10-31 20:16:00,45.71,342.82
204,825,322,2023-04-27 10:23:00,2023-04-27 11:14:00,26.09,195.68
205,549,485,2023-04-22 16:48:00,2023-04-22 17:35:00,21.11,158.32
206,364,208,2023-06-18 04:51:00,2023-06-18 05:55:00,47.52,356.4
207,790,143,2023-08-08 20:32:00,2023-08-08 21:44:00,45.52,341.4
208,38,396,2023-01-21 14:33:00,2023-01-21 15:50:00,19.13,143.47
209,758,273,2023-02-06 18:49:00,2023-02-06 19:26:00,18.35,137.62
210,283,312,2023-08-19 05:24:00,2023-08-19 05:59:00,18.7,140.25
211,322,92,2023-05-29 22:17:00,2023-05-29 23:09:00,36.6,274.5
212,505,89,2023-10-11 14:24:00,2023-10-11 15:08:00,26.85,201.38
213,6,274,2023-09-18 00:11:00,2023-09-18 00:50:00,30.89,231.68
214,856,174,2023-10-12 12:29:00,2023-10-12 13:54:00,41.21,309.07
215,158,51,2023-01-27 19:59:00,2023-01-27 20:51:00,29.45,220.88
216,41,34,2023-07-05 15:20:00,2023-07-05 16:44:00,11.67,87.53
217,357,305,2023-04-03 03:26:00,2023-04-03 04:04:00,19.21,144.08
218,773,98,2023-08-20 06:34:00,2023-08-20 07:46:00,36.82,276.15
219,520,48,2023-01-15 12:18:00,2023-01-15 13:07:00,19.97,149.77
220,56,274,2023-08-03 02:23:00,2023-08-03 03:27:00,32.45,243.38
221,58,494,2023-02-12 10:26:00,2023-02-12 11:17:00,22.13,165.97
222,185,41,2023-02-25 16:25:00,2023-02-25 17:16:00,43.53,326.48
223,108,408,2023-01-31 02:45:00,2023-01-31 03:26:00,36.57,274.27
224,316,387,2023-07-13 11:47:00,2023-07-13 13:00:00,33.84,253.8
225,303,11,2023-12-14 16:33:00,2023-12-14 17:08:00,34.1,255.75
226,771,67,2023-02-10 21:16:00,2023-02-10 22:30:00,10.6,79.5
227,144,134,2023-04-14 00:16:00,2023-04-14 01:34:00,19.06,142.95
228,934,179,2023-08-21 00:20:00,2023-08-21 01:12:00,35.29,264.68
229,301,237,2023-07-02 09:59:00,2023-07-02 10:47:00,30.79,230.92
230,874,86,2023-06-08 15:45:00,2023-06-08 16:17:00,11.89,89.18
231,540,24,2023-01-10 13:33:00,2023-01-10 14:34:00,47.69,357.67
232,59,361,2023-07-24 06:39:00,2023-07-24 07:29:00,44.73,335.47
233,893,208,2023-12-12 19:40:00,2023-12-12 20:50:00,43.61,327.07
234,220,41,2023-09-19 22:31:00,2023-09-19 23:17:00,45.85,343.88
235,93,328,2023-04-17 21:39:00,2023-04-17 22:54:00,46.7,350.25
236,945,255,2023-04-14 10:33:00,2023-04-14 11:16:00,37.62,282.15
237,640,161,2023-05-01 01:48:00,2023-05-01 02:19:00,39.39,295.43
238,831,331,2023-02-10 23:09:00,2023-02-10 23:43:00,18.74,140.55
239,708,258,2023-11-18 05:46:00,2023-11-18 06:43:00,20.93,156.97
240,527,193,2023-12-26 04:00:00,2023-12-26 05:21:00,20.65,154.88
241,415,62,2023-12-18 08:35:00,2023-12-18 09:41:00,15.22,114.15
242,705,197,2023-01-29 09:01:00,2023-01-29 10:23:00,10.53,78.97
243,981,201,2023-07-19 07:43:00,2023-07-19 09:11:00,40.45,303.38
244,42,373,2023-12-15 06:57:00,2023-12-15 07:58:00,33.37,250.27
245,426,443,2023-12-18 15:38:00,2023-12-18 17:01:00,32.05,240.37
246,807,299,2023-04-12 03:01:00,2023-04-12 03:38:00,14.36,107.7
247,797,171,2023-11-11 21:07:00,2023-11-11 22:07:00,49.7,372.75
248,36,206,2023-10-16 06:46:00,2023-10-16 08:12:00,47.09,353.18
249,1,6,2023-09-20 02:46:00,2023-09-20 03:36:00,33.78,253.35
250,324,125,2023-08-23 23:22:00,2023-08-24 00:27:00,49.07,368.02
251,469,307,2023-02-08 04:55:00,2023-02-08 06:20:00,27.17,203.78
252,181,394,2023-11-16 13:49:00,2023-11-16 14:58:00,21.11,158.32
253,757,54,2023-03-12 03:04:00,2023-03-12 04:12:00,12.75,95.62
254,335,453,2023-12-16 22:21:00,2023-12-16 23:13:00,39.15,293.62
255,791,463,2023-06-13 19:24:00,2023-06-13 20:31:00,21.97,164.77
256,613,36,2023-12-14 05:22:00,2023-12-14 06:49:00,46.65,349.88
257,317,230,2023-04-20 13:20:00,2023-04-20 14:41:00,20.9,156.75
258,838,35,2023-04-30 03:16:00,2023-04-30 04:04:00,15.23,114.23
259,136,329,2023-05-29 14:00:00,2023-05-29 15:15:00,20.1,150.75
260,618,40,2023-08-16 10:33:00,2023-08-16 11:34:00,19.32,144.9
261,734,61,2023-10-07 20:01:00,2023-10-07 20:58:00,21.01,157.58
262,298,241,2023-09-12 01:24:00,2023-09-12 02:32:00,40.59,304.43
263,606,139,2023-10-18 21:16:00,2023-10-18 22:46:00,33.02,247.65
264,615,456,2023-12-04 05:16:00,2023-12-04 06:09:00,19.64,147.3
265,298,374,2023-10-08 16:21:00,2023-10-08 16:58:00,45.24,339.3
266,32,337,2023-02-19 20:18:00,2023-02-19 20:58:00,49.81,373.58
267,935,193,2023-10-02 19:23:00,2023-10-02 20:15:00,35.79,268.43
268,293,355,2023-01-07 07:12:00,2023-01-07 08:17:00,25.94,194.55
269,200,331,2023-12-27 01:39:00,2023-12-27 02:47:00,28.14,211.05
270,303,388,2023-11-16 08:08:00,2023-11-16 09:23:00,41.99,314.93
271,240,220,2023-08-10 17:57:00,2023-08-10 18:56:00,47.59,356.93
272,661,374,2023-06-26 08:29:00,2023-06-26 09:24:00,45.23,339.22
273,725,160,2023-12-24 06:13:00,2023-12-24 07:03:00,45.98,344.85
274,978,107,2023-02-12 18:45:00,2023-02-12 19:51:00,42.88,321.6
275,100,195,2023-11-09 20:10:00,2023-11-09 21:34:00,23.79,178.42
276,495,23,2023-09-20 18:12:00,2023-09-20 18:43:00,41.12,308.4
277,920,111,2023-02-18 10:31:00,2023-02-18 11:43:00,24.51,183.83
278,219,393,2023-12-14 13:49:00,2023-12-14 14:57:00,40.14,301.05
279,90,127,2023-06-21 13:36:00,2023-06-21 14:35:00,29.01,217.58
280,974,451,2023-02-15 09:43:00,2023-02-15 10:45:00,24.45,183.38
281,384,340,2023-04-17 00:51:00,2023-04-17 02:19:00,42.27,317.03
282,712,96,2023-11-15 20:20:00,2023-11-15 21:32:00,41.38,310.35
283,510,454,2023-10-25 05:37:00,2023-10-25 06:38:00,14.18,106.35
284,793,290,2023-08-29 02:13:00,2023-08-29 03:40:00,47.65,357.38
285,249,424,2023-05-02 05:11:00,2023-05-02 06:38:00,44.69,335.17
286,909,111,2023-12-23 09:16:00,2023-12-23 10:19:00,42.63,319.73
287,1,419,2023-11-24 22:57:00,2023-11-25 00:24:00,26.04,195.3
288,614,221,2023-05-02 00:34:00,2023-05-02 01:31:00,10.26,76.95
289,936,340,2023-04-24 06:02:00,2023-04-24 07:11:00,33.93,254.47
290,817,302,2023-08-31 11:05:00,2023-08-31 12:27:00,47.48,356.1
291,467,350,2023-03-08 21:32:00,2023-03-08 22:40:00,29.09,218.18
292,759,322,2023-03-25 15:42:00,2023-03-25 16:56:00,48.9,366.75
293,839,417,2023-12-13 18:42:00,2023-12-13 19:50:00,24.8,186.0
294,545,462,2023-11-11 16:41:00,2023-11-11 18:02:00,35.24,264.3
295,367,218,2023-10-03 18:16:00,2023-10-03 19:16:00,45.91,344.32
296,776,430,2023-10-06 23:02:00,2023-10-07 00:16:00,19.43,145.72
297,862,61,2023-09-17 01:23:00,2023-09-17 02:04:00,18.39,137.93
298,631,25,2023-08-05 12:31:00,2023-08-05 13:14:00,26.17,196.28
299,264,402,2023-03-31 14:32:00,2023-03-31 15:47:00,21.22,159.15
300,627,381,2023-04-17 01:52:00,2023-04-17 02:46:00,27.99,209.92
301,648,265,2023-12-30 09:26:00,2023-12-30 10:54:00,27.15,203.62
302,275,403,2023-05-01 16:51:00,2023-05-01 18:14:00,41.6,312.0
303,245,31,2023-09-16 01:45:00,2023-09-16 02:38:00,31.92,239.4
304,171,136,2023-01-01 13:02:00,2023-01-01 14:14:00,41.39,310.43
305,808,468,2023-07-11 03:15:00,2023-07-11 04:40:00,13.71,102.83
306,561,38,2023-01-12 09:32:00,2023-01-12 10:47:00,35.05,262.88
307,968,248,2023-06-09 21:29:00,2023-06-09 22:56:00,17.21,129.08
308,957,226,2023-11-18 22:07:00,2023-11-18 23:00:00,10.6,79.5
309,39,438,2023-06-28 00:34:00,2023-06-28 01:14:00,35.76,268.2
310,927,163,2023-02-11 08:53:00,2023-02-11 10:15:00,35.73,267.97
311,293,317,2023-02-27 00:36:00,2023-02-27 01:20:00,41.67,312.53
312,431,414,2023-03-30 22:04:00,2023-03-30 23:25:00,18.17,136.28
313,33,50,2023-08-28 00:30:00,2023-08-28 01:50:00,10.34,77.55
314,962,41,2023-10-29 01:57:00,2023-10-29 03:19:00,30.44,228.3
315,224,461,2023-09-25 08:09:00,2023-09-25 08:50:00,23.1,173.25
316,81,286,2023-05-06 12:37:00,2023-05-06 14:05:00,21.71,162.83
317,466,280,2023-06-17 10:12:00,2023-06-17 11:01:00,39.59,296.93
318,55,224,2023-09-17 21:34:00,2023-09-17 22:15:00,23.64,177.3
319,612,301,2023-05-15 10:31:00,2023-05-15 11:42:00,17.69,132.68
320,877,6,2023-10-01 06:32:00,2023-10-01 07:55:00,27.4,205.5
321,298,140,2023-07-05 07:53:00,2023-07-05 09:05:00,38.82,291.15
322,804,343,2023-02-06 09:22:00,2023-02-06 10:03:00,25.36,190.2
323,579,19,2023-03-28 00:54:00,2023-03-28 01:28:00,17.71,132.83
324,933,312,2023-01-17 09:30:00,2023-01-17 10:29:00,18.24,136.8
325,543,139,2023-10-05 09:11:00,2023-10-05 10:30:00,23.58,176.85
326,162,93,2023-08-04 05:38:00,2023-08-04 06:09:00,34.57,259.27
327,242,23,2023-07-14 23:08:00,2023-07-15 00:30:00,48.16,361.2
328,792,163,2023-04-14 10:11:00,2023-04-14 11:23:00,46.2,346.5
329,163,172,2023-08-10 21:15:00,2023-08-10 22:05:00,36.99,277.43
330,385,12,2023-05-19 08:41:00,2023-05-19 09:24:00,32.46,243.45
331,435,431,2023-04-26 23:00:00,2023-04-27 00:20:00,21.4,160.5
332,49,35,2023-06-11 23:20:00,2023-06-12 00:15:00,33.1,248.25
333,710,442,2023-06-28 03:37:00,2023-06-28 04:12:00,19.05,142.88
334,692,397,2023-01-02 03:33:00,2023-01-02 04:25:00,18.98,142.35
335,185,209,2023-01-13 18:55:00,2023-01-13 19:53:00,28.64,214.8
336,245,34,2023-07-23 00:33:00,2023-07-23 01:03:00,10.87,81.52
337,491,81,2023-02-18 05:12:00,2023-02-18 06:11:00,44.56,334.2
338,171,436,2023-07-07 23:26:00,2023-07-08 00:04:00,46.41,348.07
339,641,319,2023-11-05 17:35:00,2023-11-05 18:57:00,31.21,234.08
340,621,409,2023-11-22 04:50:00,2023-11-22 06:13:00,40.06,300.45
341,982,450,2023-02-27 10:59:00,2023-02-27 12:26:00,42.64,319.8
342,573,217,2023-06-18 09:02:00,2023-06-18 09:39:00,17.94,134.55
343,595,309,2023-08-11 07:05:00,2023-08-11 07:44:00,15.97,119.78
344,561,161,2023-07-11 06:11:00,2023-07-11 07:17:00,49.57,371.77
345,765,399,2023-11-30 02:39:00,2023-11-30 04:01:00,23.65,177.38
346,914,188,2023-02-15 17:17:00,2023-02-15 18:21:00,44.36,332.7
347,344,92,2023-07-18 16:48:00,2023-07-18 17:47:00,17.16,128.7
348,885,145,2023-10-10 02:49:00,2023-10-10 03:48:00,14.62,109.65
